Nome;2001;2021
Arcos de Valdevez;55.2;46.4
Caminha;124.1;116.6
Melgaço;41.9;32.5
Monção;94.3;84.7
Paredes de Coura;69.1;63
Ponte da Barca;70.6;60.9
Ponte de Lima;138.1;128.8
Valença;120.9;117.4
Viana do Castelo;278.2;269.9
Vila Nova de Cerveira;81.8;82.7
Amares;226.1;229
Barcelos;322.1;308.6
Braga;900.1;1061
Esposende;349.8;372.3
Terras de Bouro;29.9;23
Vila Verde;204.1;204.6
Cabeceiras de Basto;73.6;64.4
Fafe;240.5;221.5
Guimarães;660.1;651.1
Mondim de Basto;49.6;37.5
Póvoa de Lanhoso;171.3;163.4
Vieira do Minho;67.1;55.6
Vila Nova de Famalicão;633.7;665.1
Vizela;956.2;973.1
Arouca;73.6;64.2
Espinho;1593.1;1486.6
Gondomar;1250.3;1253.1
Maia;1450.8;1645.8
Matosinhos;2704.6;2786.6
Oliveira de Azeméis;432.2;413
Paredes;534.2;541.2
Porto;6310.5;5660
Póvoa de Varzim;773;788.4
Santa Maria da Feira;632.5;636
Santo Tirso;534;496.7
São João da Madeira;2651.1;2836.2
Trofa;519.2;539.3
Vale de Cambra;168.8;144.7
Valongo;1138.8;1275.7
Vila do Conde;500.5;547.9
Vila Nova de Gaia;1715.4;1813.1
Boticas;19.9;15.4
Chaves;73.7;63.6
Montalegre;15.7;11.5
Ribeira de Pena;33.9;27
Valpaços;35.4;26.7
Vila Pouca de Aguiar;34.2;27.1
Amarante;197.4;173.2
Baião;127.8;100.6
Castelo de Paiva;150.8;135
Celorico de Basto;112.9;97.7
Cinfães;92.6;74.3
Felgueiras;498.2;482.5
Lousada;465.5;495.2
Marco de Canaveses;259.8;245.9
Paços de Ferreira;742.2;785.8
Penafiel;338.4;329.3
Resende;100.8;81.3
Alijó;47.8;35.3
Armamar;63.5;48.9
Carrazeda de Ansiães;27.2;19.6
Freixo de Espada À Cinta;17;13.3
Lamego;169.4;147.1
Mesão Frio;183.6;133
Moimenta da Beira;50.1;43.1
Murça;35.5;27.8
Penedono;25.7;20.8
Peso da Régua;194.5;153.5
Sabrosa;44.7;35.5
Santa Marta de Penaguião;122.1;87.7
São João da Pesqueira;32.4;25.7
Sernancelhe;27.2;24.8
Tabuaço;50.5;37.6
Tarouca;82.9;73.6
Torre de Moncorvo;18.5;12.8
Vila Nova de Foz Côa;21.2;15.9
Vila Real;132.7;131.1
Alfândega da Fé;18.4;13.4
Bragança;29.6;29.6
Macedo de Cavaleiros;24.9;20.4
Miranda do Douro;16.5;13.2
Mirandela;39.1;32.5
Mogadouro;14.7;11
Vila Flor;29.6;22.9
Vimioso;11;8.6
Vinhais;15.2;11.1
Alcobaça;136.3;136
Alenquer;128.8;148.9
Arruda Dos Vinhos;134.6;182.9
Bombarral;145.3;142.8
Cadaval;80.3;78.2
Caldas da Rainha;191.4;201.8
Lourinhã;159.3;181.3
Nazaré;182.6;181.8
Óbidos;76.8;86.4
Peniche;351.4;343.8
Sobral de Monte Agraço;171.6;208.9
Torres Vedras;178.3;206.9
Águeda;146.1;138.4
Albergaria-A-Velha;158.8;158
Anadia;145.1;128.2
Aveiro;367.9;414.8
Estarreja;259.6;244.6
Ílhavo;506.8;542
Murtosa;129.6;144.9
Oliveira do Bairro;243;269.5
Ovar;374.6;375
Sever do Vouga;101.4;85.1
Vagos;133.8;140.8
Arganil;40.8;33.6
Cantanhede;96.7;88
Coimbra;464.2;443.7
Condeixa-A-Nova;111.2;121.9
Figueira da Foz;165.1;156.6
Góis;18.4;14.4
Lousã;114.3;123.6
Mealhada;187.4;176.1
Mira;103.5;98.5
Miranda do Corvo;103.5;95.5
Montemor-O-Velho;111.6;107.9
Mortágua;41.2;35.9
Oliveira do Hospital;94.1;83.1
Pampilhosa da Serra;13.1;10.3
Penacova;76.9;60.4
Penela;48.7;40.7
Soure;78.8;65.3
Tábua;63;56.6
Vila Nova de Poiares;83.6;82.2
Alvaiázere;52.5;39.2
Ansião;77.8;66.6
Batalha;146.2;152
Castanheira de Pêra;55.6;40.3
Figueiró Dos Vinhos;42.1;30.5
Leiria;211.4;229.3
Marinha Grande;192.7;210.6
Pedrógão Grande;34.1;27
Pombal;89.9;82.2
Porto de Mós;91.8;89.4
Aguiar da Beira;30.1;25.8
Carregal do Sal;88.8;77.8
Castro Daire;44.6;36.2
Mangualde;95.5;83.9
Nelas;113.5;105.1
Oliveira de Frades;72.8;66.1
Penalva do Castelo;66.8;54.7
Santa Comba Dão;111;96.1
São Pedro do Sul;54.4;43.5
Sátão;65;54.7
Tondela;83.7;70
Vila Nova de Paiva;34.8;26.7
Viseu;184.8;197.4
Vouzela;61.2;49.9
Castelo Branco;38.8;36.5
Idanha-A-Nova;8.2;5.9
Oleiros;14.2;10.4
Penamacor;11.8;8.5
Proença-A-Nova;24.2;18.1
Vila Velha de Ródão;12.4;10.2
Abrantes;58.9;48.1
Alcanena;114.6;98.6
Constância;47.8;47.3
Entroncamento;1327.9;1497.7
Ferreira do Zêzere;49.4;41.2
Mação;21;16.1
Ourém;111.1;108.1
Sardoal;44.6;38.4
Sertã;37.4;33.3
Tomar;121.9;104.2
Torres Novas;137.1;127.2
Vila de Rei;17.6;17.4
Vila Nova da Barquinha;152.6;145.2
Almeida;16.2;11.3
Belmonte;63.7;52.1
Celorico da Beira;35.7;26.7
Covilhã;97.9;83.8
Figueira de Castelo Rodrigo;14;10.1
Fornos de Algodres;42.6;33.8
Fundão;44.8;38.1
Gouveia;53.4;40.8
Guarda;61.5;56.5
Manteigas;33.4;24.3
Mêda;21.7;16.1
Pinhel;22.5;16.7
Sabugal;18;13.8
Seia;64.3;50
Trancoso;30;23.3
Alcochete;99.3;150.9
Almada;2296.6;2543.1
Amadora;7375.5;7262
Barreiro;2466.9;2164.4
Cascais;1769.1;2201.9
Lisboa;6656.8;5467.4
Loures;1177;1211.8
Mafra;189.5;300.2
Moita;1233.1;1209.9
Montijo;116.5;162.2
Odivelas;5035.6;5612.4
Oeiras;3540.8;3744.5
Palmela;115.4;150.2
Seixal;1571.2;1756.9
Sesimbra;194.5;271
Setúbal;589.6;537.1
Sintra;1138.4;1212.9
Vila Franca de Xira;381.3;433.5
Alcácer do Sal;9.5;7.5
Grândola;18.2;16.9
Odemira;15.2;17.5
Santiago do Cacém;29.3;26.4
Sines;67.1;70.7
Aljustrel;22.9;19.4
Almodôvar;10.5;8.7
Alvito;10;8.7
Barrancos;11.4;9
Beja;31.2;29.3
Castro Verde;13.3;12.2
Cuba;28.8;25.6
Ferreira do Alentejo;13.9;12
Mértola;6.7;4.8
Moura;17.2;13.9
Ourique;9.3;7.3
Serpa;15.1;12.5
Vidigueira;19.5;16.5
Almeirim;99.1;100.1
Alpiarça;83;73.8
Azambuja;81.5;82.8
Benavente;44.7;58.1
Cartaxo;149.6;148.7
Chamusca;15.3;11.5
Coruche;19;15.7
Golegã;74.9;63.9
Rio Maior;77.9;78.3
Salvaterra de Magos;84.1;90.3
Santarém;113;107.5
Alter do Chão;10.9;8.6
Arronches;10.7;8.9
Avis;8.6;6.3
Campo Maior;34;32.7
Castelo de Vide;14.5;12.1
Crato;10.9;8.2
Elvas;37;32.9
Fronteira;15;11.9
Gavião;16.5;11.5
Marvão;26;19.7
Monforte;8.1;7.1
Nisa;14.9;10.3
Ponte de Sor;21.5;18.2
Portalegre;57.9;49.9
Sousel;20.6;15.8
Alandroal;12;9.3
Arraiolos;11.2;9.8
Borba;53.5;44.6
Estremoz;30.4;24.8
Évora;43.3;41.2
Montemor-O-Novo;15.1;13
Mora;13;9.5
Mourão;11.5;8.5
Portel;11.8;9.5
Redondo;19.8;17.1
Reguengos de Monsaraz;24.4;21.3
Vendas Novas;51.7;50.9
Viana do Alentejo;14.3;13.8
Vila Viçosa;45.4;38
Albufeira;226;316.7
Alcoutim;6.5;4.4
Aljezur;16.4;19
Castro Marim;22;21.7
Faro;288.4;335.3
Lagoa;233.3;271.4
Lagos;120.1;157.9
Loulé;77.9;95
Monchique;17.5;13.8
Olhão;315.1;342
Portimão;249;330.6
São Brás de Alportel;67;73.9
Silves;50;56
Tavira;41.1;45.5
Vila do Bispo;29.9;32.3
Vila Real de Santo António;290.3;309.3
Vila do Porto;57.6;56.3
Lagoa [R.A.A.];309.9;315
Nordeste;52.8;43.7
Ponta Delgada;283.1;290.5
Povoação;62.1;55.1
Ribeira Grande;158.8;175.7
Vila Franca do Campo;142.7;133
Angra do Heroísmo;148.9;141.9
Vila da Praia da Vitória;125.8;121.4
Santa Cruz da Graciosa;78.8;67.6
Calheta [R.A.A.];32.1;27.7
Velas;47.7;42.2
Lajes do Pico;32.4;28.2
Madalena;41.7;43.5
São Roque do Pico;25.4;22.9
Horta;87.1;83.4
Lajes das Flores;21.5;20.2
Santa Cruz das Flores;35.1;28.9
Corvo;24.8;23.4
Calheta [R.A.M.];108.1;98.4
Câmara de Lobos;669.4;619.7
Funchal;1377.3;1395.3
Machico;318.4;288
Ponta do Sol;174.3;182.3
Porto Moniz;35.3;30
Ribeira Brava;193;195.3
Santa Cruz;448.9;524.7
Santana;91.2;68.6
São Vicente;76.5;61.8
Porto Santo;112.7;121.5
